I1,Q1,I2,Q2,I3,Q3,I1_dpd,Q1_dpd,I2_dpd,Q2_dpd,I3_dpd,Q3_dpd
0.05957306085015884,0.14814028500516827,0.08295540717765515,0.14353497801608983,0.0797612140635649,0.12536044692006437,0.13970947265625,0.1151123046875,0.0972900390625,0.1781005859375,-0.00360107421875,0.209228515625
0.008849115670313552,0.11000663637399888,0.09959791809048396,0.06720693898461147,0.07819263828743593,-0.0808490719352797,0.04083251953125,0.0765380859375,0.10546875,0.0576171875,0.140625,-0.06427001953125
0.06429524838603672,0.09413156989958528,-0.02008932212237508,0.09458262986976429,-0.002524199111202579,-0.12708149377568384,0.11614990234375,0.053466796875,-0.03668212890625,0.1141357421875,0.08447265625,-0.11279296875
-0.01569968215893688,0.1424653440051058,-0.08341384907913005,0.3648128826422305,-0.021032381791405087,0.05662860514736882,0.0455322265625,0.1512451171875,-0.10406494140625,0.42633056640625,-0.06781005859375,0.06121826171875
-0.205589618927388,0.033335553190002795,0.01246123317097047,0.390865669930858,-0.06248763119762926,-0.03130706170648118,-0.1912841796875,0.11749267578125,0.01153564453125,0.4329833984375,-0.03338623046875,-0.11199951171875
-0.0687808580509573,0.06313738165717402,0.166438868014969,0.1621000837334862,-0.024117697462839153,-0.12972364502785705,0.0042724609375,0.09112548828125,0.19219970703125,0.16217041015625,0.089111328125,-0.14154052734375
0.012179066458535863,0.13194457260825862,0.02825007247751164,-0.09530879173251484,0.06444542729814785,-0.026347215206653216,0.06512451171875,0.1103515625,0.00897216796875,-0.1156005859375,0.091064453125,0.03875732421875
-0.173541696188145,0.0453327937767173,-0.18802389374609624,-0.09790762198329038,0.004016440875603102,0.13668627395237606,-0.1541748046875,0.11785888671875,-0.221923828125,-0.101806640625,-0.11627197265625,0.151611328125
-0.1316432716536367,-0.11887707561861897,-0.024176659381062494,-0.042936216839524685,-0.15432725759483115,0.12249602930601496,-0.156494140625,-0.05572509765625,-0.00225830078125,-0.04541015625,-0.26397705078125,-0.00738525390625
0.19021657680918672,-0.07426949377430368,0.27111947716808654,-0.16849139179017353,-0.11577715830828587,0.012335389907626072,0.163330078125,-0.15728759765625,0.327880859375,-0.19744873046875,-0.10528564453125,-0.08172607421875
0.2162983711925016,0.13991422287860067,0.16141729035220292,-0.2798411308549268,0.04963973275022682,-0.08216975876043892,0.2574462890625,0.04986572265625,0.1683349609375,-0.32916259765625,0.11669921875,-0.05010986328125
-0.011363893331532168,0.1854320373673246,-0.10350562680966265,-0.18392460715571407,0.11758801583671884,-0.147062359247713,0.05828857421875,0.1705322265625,-0.12799072265625,-0.19036865234375,0.23406982421875,-0.06756591796875
0.0031200930243010356,-0.016916510469258496,-0.03448455985623041,-0.11662919813612065,0.12036605713842884,-0.18273717073863416,-0.0050048828125,-0.04254150390625,-0.01202392578125,-0.13067626953125,0.255859375,-0.09027099609375
0.07939403150804145,-0.1621697240089122,0.14538126480729174,-0.1968920029453778,0.033066058420273256,-0.19434720638730563,-0.01324462890625,-0.18927001953125,0.17657470703125,-0.2283935546875,0.17108154296875,-0.17626953125
-0.14489552947291232,-0.09608663868592593,0.1052641746036026,-0.1610702184356077,-0.22613979041690793,-0.1556365072883645,-0.19183349609375,0.01397705078125,0.10931396484375,-0.1722412109375,-0.140869140625,-0.319580078125
-0.2807522459269607,0.020051968488164536,0.0620154639187392,0.04108364064953136,-0.3487925720797137,-0.02394594886915144,-0.2357177734375,0.18121337890625,0.0784912109375,0.06866455078125,-0.3443603515625,-0.28387451171875
-0.041871689626127605,0.07087404002020331,0.12175528707430595,0.13910493216622472,-0.07892072620588839,0.06518599781209086,0.02880859375,0.07342529296875,0.130615234375,0.154541015625,-0.0830078125,0.01593017578125
0.0729575900589328,0.08418653651615275,0.02598503341449021,0.13530769071793175,0.19393984120938693,-0.05106650881987856,0.09271240234375,0.03759765625,0.0174560546875,0.14959716796875,0.24957275390625,0.0799560546875
-0.12435497640473687,0.07149833134559902,-0.1436085904211235,0.2023220161876174,0.118480282912552,-0.20207304225030623,-0.09552001953125,0.131591796875,-0.17694091796875,0.2318115234375,0.253662109375,-0.13031005859375
-0.12478131853210324,0.0685831256076476,-0.08187265155490665,0.16331892377179255,-0.01774825119972456,-0.1596322613869712,-0.05987548828125,0.112060546875,-0.0755615234375,0.17218017578125,0.09765625,-0.164306640625
0.11706912088289576,0.13751981359687257,0.04549778158849425,-0.11000727618454988,0.02341553279560166,-0.04834320655753178,0.18408203125,0.06280517578125,0.05987548828125,-0.14373779296875,0.067626953125,-0.0234375
0.1080427812454294,0.1862187798866572,-0.038970814703078525,-0.2530535163489169,0.048111941316817966,-0.0013809774994056705,0.1683349609375,0.12213134765625,-0.0482177734375,-0.2843017578125,0.04638671875,0.0374755859375
-0.11493740830284355,0.07352395798004627,-0.1506999589100072,-0.08348119907340606,-0.004353692774020517,0.09351398287686451,-0.086669921875,0.11187744140625,-0.1656494140625,-0.072509765625,-0.08172607421875,0.10198974609375
