I,Q,I_dpd,Q_dpd
0.154885642131108,0.317983353750832,0.110713735,0.2957576
0.0373438715512093,0.274988520106001,-0.016099505,0.13318819
0.055483074883716,-0.233984404024786,0.098468944,-0.24596454
0.127746321780066,0.0162294294445459,0.13800317,0.17091294
0.199641376753261,0.266141265570371,0.12584496,0.18034914
0.0314246226230747,0.0226538129814642,-0.03057642,-0.0052057374
-0.0534805984745764,-0.0406448643184783,0.017932506,-0.031592302
0.259422310876904,0.0639464344012952,0.263122,0.08558439
0.146407617660796,0.0883834796666534,0.0018633939,0.10049372
-0.207760313861145,0.111052521877488,-0.16064575,0.06868567
0.134040162308431,0.0329120802629297,0.22922581,-0.0043837447
0.251824831759588,-0.0017265670532609,0.10894657,0.066115335
-0.216614662121332,0.174366663768016,-0.23730661,0.17338744
-0.073202397688384,0.212376379182776,0.049395747,0.12943777
0.211160704506277,0.0569744067851753,0.13118905,0.06349305
-0.114523504849282,0.108002647700576,-0.17662953,0.15609364
-0.200179282871257,0.324006968960432,-0.11903034,0.29366112
0.0276360996737747,0.320507337633488,0.02107557,0.24288352
-0.0154889700063394,0.160890045526924,-0.05688894,0.14318995
-0.154479799733349,0.258948863863422,-0.14157146,0.29591596
-0.172753908405523,0.500938141509319,-0.14144848,0.4368562
-0.0062109411935231,0.406597875526326,0.02185598,0.28111786
0.0311620200039751,0.229254419614934,-0.019957531,0.23788786
-0.241005416910086,0.427229130162304,-0.22961996,0.4276577
-0.0740921298365824,0.575487092140269,0.02749671,0.43587375
0.230126001259384,0.360106449032314,0.14504017,0.28052726
-0.131023264585413,0.27873913174447,-0.18756394,0.28200266
-0.118049860858076,0.459715842380403,0.02183652,0.38859606
0.337980985068837,0.453223448234057,0.26514533,0.36365378
0.0461435921888248,0.246885282871618,-0.07336115,0.18854076
-0.0740332201810621,0.214043295659638,0.06385217,0.17921418
0.365544894985199,0.31648520139308,0.32582736,0.29248786
0.145618925987611,0.228891472477989,0.0022187773,0.15803516
-0.0172061412089056,0.06922585026642,0.0976575,0.013604902
0.359055947589787,0.0868489371402753,0.33609343,0.09872261
0.147768495729374,0.0709469056376633,0.000545077,0.040876154
-0.053301240645657,-0.0160991342446699,0.04050374,-0.048228554
0.273974742859766,-0.0004928092572115,0.26552683,0.0028074025
0.115102048436677,-0.101983701714344,-0.023390569,-0.12553701
-0.137121002274224,-0.187126520892362,-0.07103031,-0.1477695
0.0538056361728142,0.0137084507062856,0.07263828,0.046202805
0.0184954893134704,-0.0688474622371514,-0.06520708,-0.15080048
-0.128153705685983,-0.35047686692661,-0.09823333,-0.29112476
-0.169809446711211,-0.0662321244325283,-0.155349,0.052494854
-0.217132833469427,0.102852659398839,-0.19718638,-0.001635462
-0.0429916532685145,-0.294006416369373,0.0050217435,-0.2995413
-0.150064720665238,-0.206648165162243,-0.20760155,-0.03638477
-0.467646620544228,0.146319866125003,-0.3860746,0.088383906
-0.0624933325419039,-0.0838868728559086,0.091844946,-0.16017532
0.124599875675054,-0.192142210199969,0.004598595,-0.06439394
-0.434666944177942,0.0247482190128543,-0.43193525,0.01806499
-0.204685002206131,-0.0246424187345428,0.037055403,-0.07646446
0.346246828088976,-0.0329053726397735,0.28261995,0.038969073
-0.0491378529393702,-0.0230490730133161,-0.17690453,-0.054252952
-0.202113279843557,-0.202104525787191,-0.029818427,-0.2054903
0.295700927457066,-0.0179120156714854,0.348495,0.08179343
0.326533396119892,0.0918008078096458,0.1879768,0.007804565
0.109123455002255,-0.346656848840566,0.11351882,-0.36610982
0.163913159322273,-0.269821837872082,0.2093172,-0.101144604
0.31757984467726,0.132501882531262,0.2913619,0.08755915
0.444507477666091,-0.255793931963965,0.37203205,-0.3419237
0.247391041075835,-0.516812944066375,0.17152368,-0.33744743
0.0344141224345282,-0.0791858161128606,0.06470236,-0.019576676
0.385656805699792,-0.10204763246369,0.41615903,-0.2102088
0.458243808538572,-0.471994486633257,0.2942592,-0.37108248
-0.104475951157403,-0.339055141357335,-0.15339279,-0.2136896
-0.0422300344968106,-0.14049952278142,0.10440737,-0.17425616
0.431384954177304,-0.242946260800189,0.3573778,-0.20946255
0.0369829578133527,-0.334853647999925,-0.1355299,-0.252748
-0.391130685121788,-0.295254279907033,-0.25898284,-0.26547554
0.0859873919045394,-0.149307113774895,0.19218162,-0.09733914
0.194665111634286,-0.107734418879584,0.013325743,-0.08751319
-0.38497705401663,-0.280641688273398,-0.38582695,-0.28197402
-0.243876542065522,-0.252682489311754,-0.042476483,-0.17727675
0.179495633938313,0.0057257100052991,0.10689016,0.07100269
-0.188526491846179,-0.0500887353643172,-0.28041738,-0.11079639
-0.294836898519271,-0.303933071818672,-0.12668172,-0.28798646
0.130930029075236,-0.159812148441386,0.15227214,-0.026107177
-0.0336273052612104,0.11380973388405,-0.14181949,0.10085341
-0.179107014800036,-0.139135222179875,-0.07594104,-0.2509042
0.186480604146601,-0.401421891001551,0.22791713,-0.2744582
0.0914322816887925,-0.0170201968136364,-0.01080573,0.104168184
-0.0794843134394174,0.0941374461959228,-0.03305393,-0.061366092
0.22409691558049,-0.442536855536749,0.2596178,-0.4404356
0.21441158235334,-0.331771049099258,0.14604029,-0.10695547
0.0494934361324775,0.155520114437821,0.03081464,0.10032076
0.146488208873625,-0.255940671253833,0.1390471,-0.38749576
0.160868495862531,-0.537038038766251,0.17944685,-0.34623453
0.244893099811674,0.0116504839613933,0.21488637,0.110788144
0.151050085206345,-0.0260095479580222,0.009595528,-0.16486222
-0.145380178870152,-0.473207404525806,-0.07449145,-0.41710216
0.273752815446633,-0.163545499140516,0.3780089,-0.0077051
0.411440393876217,0.0850451157614456,0.13706757,0.051331006
-0.382833805303846,-0.218912396421121,-0.40483403,-0.26312652
-0.0474539049951819,-0.193869948044267,0.2588126,-0.117036775
0.682817778016795,0.0630466828784445,0.4726784,0.12645695
-0.202075155416212,0.0328335936769603,-0.43177435,0.0077649048
-0.435424200160716,-0.0443215351808674,-0.09658156,-0.088220365
0.59460867143407,0.00516441065645,0.60327053,0.07051582
0.221948195857299,0.130311685411846,-0.09461491,0.17411125
-0.432982419715726,0.169103628056597,-0.2730235,0.0630779
0.24177726873673,0.0246609192301949,0.38574305,-0.002575267
0.381578407803947,0.0708986536876203,0.18684717,0.16558096
-0.0783287403652263,0.271570244619688,-0.07672379,0.21396208
0.0844277193819375,0.143715332348703,0.13893759,0.055073287
